"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
31,17,14,35,24,11,24,19,16,50,30,5,8,16,6,25,35,27,6,9,26,23,9,9,9,13,10,34,53,40,35,29,13,26,13,24,19,13,5,11,5,5,21,20,75,27,17,19,38,20
19,4,4,20,2,3,12,1,0,7,22,16,5,1,4,2,11,2,0,2,11,16,1,1,0,5,3,0,27,7,21,3,4,0,0,0,16,3,1,0,6,1,13,1,5,15,7,3,3,1
75,68,63,61,72,55,68,83,49,72,72,41,62,70,64,72,28,79,60,63,66,62,63,67,58,70,58,76,72,65,63,69,59,82,63,58,53,38,74,64,59,73,75,71,54,71,65,65,64,64
73,75,94,67,117,86,96,83,106,85,76,96,112,90,49,83,86,74,108,71,97,58,70,79,88,88,87,82,49,85,92,86,86,61,88,85,89,68,96,126,96,87,92,99,77,85,117,89,80,91
74,607,364,552,195,368,455,422,558,141,2140,3266,1477,2994,4146,3183,1293,2499,2386,1712,5013,2406,1034,959,463,894,1506,1064,1034,782,308,320,366,246,171,232,241,204,389,579,303,133,244,157,107,331,228,183,95,218
0,0,0,5,6,11,1,3,0,1,2,2,0,2,13,0,6,4,1,3,6,2,7,5,0,0,9,11,4,1,2,8,0,0,2,11,0,35,0,0,4,7,1,0,8,25,14,16,8,0
180,211,269,49,272,438,346,300,437,345,251,178,203,376,181,309,292,274,119,31,216,119,89,145,274,168,125,298,211,165,222,345,210,437,398,173,129,232,359,134,162,282,208,402,182,172,252,180,287,247
60,13,1,3,43,9,19,0,11,9,6,4,4,18,2,24,27,28,0,0,22,8,2,1,29,5,9,1,9,8,8,3,11,10,3,8,10,0,24,16,1,17,5,0,31,2,14,38,29,11
8,9,7,9,5,11,43,14,10,22,58,18,45,19,41,1,23,6,7,12,72,24,5,14,6,40,16,12,4,36,31,5,1,16,5,36,19,8,5,29,7,19,15,9,7,19,5,30,5,13
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,3,1,5,1,0,0,0,5,0,0,0,0,5,0,0,2,6,0,0
5,6,11,0,1,6,3,4,13,0,25,29,0,17,124,4,0,0,4,12,44,25,106,148,4,25,71,17,20,0,15,35,2,19,71,5,14,8,167,5,0,0,2,18,9,38,2,3,1,1
3,37,6,0,1,1,0,0,40,14,26,0,0,68,6,11,64,24,1,40,10,6,3,7,69,26,0,1,22,1,3,18,16,69,11,60,0,0,37,1,27,12,2,25,0,14,0,2,0,9
87,0,0,0,1,0,18,0,0,17,0,95,19,4,26,1,25,0,29,0,2,38,0,0,28,0,0,0,5,41,0,12,0,0,0,3,0,24,0,5,5,1,0,0,0,0,178,20,14,14
23,26,19,20,10,24,21,32,19,14,70,55,65,68,39,76,78,116,65,53,112,150,66,131,20,111,56,101,76,146,24,25,12,14,19,20,12,8,14,17,12,12,23,10,35,39,17,4,19,12
1,13,2,1,1,2,2,0,0,4,1,2,0,0,0,0,7,1,3,1,0,8,0,2,1,0,0,0,6,0,0,2,0,2,8,0,0,1,0,6,2,9,0,1,3,1,1,8,5,0
15,0,4,0,8,7,22,0,28,1,2,16,6,43,3,7,2,5,0,3,0,0,0,0,9,1,0,5,1,0,2,5,0,10,11,8,11,0,3,2,1,4,5,0,9,1,0,9,14,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
141,116,38,92,38,201,86,108,118,186,204,334,19,383,218,223,153,243,326,268,123,36,110,178,168,18,269,172,178,210,48,153,35,142,31,31,105,76,43,38,56,28,43,102,7,115,17,73,14,85
22,1,0,0,0,0,6,0,0,4,1,16,2,4,0,0,20,0,8,1,2,11,1,4,0,2,0,0,2,10,0,11,2,3,5,7,3,28,4,1,5,5,0,3,0,5,3,36,0,2
51,60,35,48,47,40,49,37,68,63,27,60,59,55,19,101,70,97,64,80,26,40,48,21,73,39,67,44,52,88,40,61,48,42,35,81,42,35,80,76,65,45,61,47,58,44,53,18,34,52
24,19,26,21,13,36,24,41,10,37,16,6,25,25,41,28,31,11,12,30,35,30,7,10,15,9,8,18,25,7,47,40,72,24,82,36,64,52,9,129,42,40,23,80,32,30,108,35,23,95
99,132,51,137,40,93,125,121,48,183,142,163,38,138,33,124,157,180,47,154,74,149,89,43,30,85,62,103,187,141,23,49,35,86,29,38,29,33,18,20,36,28,76,39,78,52,21,39,29,13
119,188,167,204,102,155,190,139,165,167,128,142,116,207,152,155,193,168,126,178,209,57,162,120,174,112,111,136,220,106,219,179,165,225,131,175,130,90,146,178,237,152,128,262,121,142,197,50,138,158
19,23,30,20,35,20,17,19,17,22,16,15,18,16,18,15,14,12,21,18,24,21,22,18,21,20,25,27,24,22,27,43,53,33,73,60,58,40,33,57,35,43,23,41,40,34,101,25,63,45
18,17,5,24,38,38,28,14,8,41,35,41,6,5,5,19,10,10,2,32,10,4,13,5,8,11,9,2,9,3,37,4,44,27,8,44,10,7,17,13,21,25,17,12,33,36,36,54,39,34
47,139,295,161,181,207,206,188,54,90,168,83,331,21,338,263,149,132,381,83,380,171,117,198,193,201,245,150,133,153,266,92,250,149,104,204,46,313,113,435,187,194,149,278,63,204,472,94,130,195
24,3,16,11,6,2,5,5,4,5,3,0,14,3,14,1,1,8,6,2,0,4,8,5,4,1,9,9,9,15,5,2,3,8,5,3,12,16,4,5,16,0,18,0,12,3,2,18,6,4
0,0,2,62,2,6,0,9,26,0,7,5,1,3,3,0,2,34,0,0,1,28,0,0,0,0,1,57,1,17,2,74,0,0,7,0,37,0,11,52,71,12,21,0,40,0,0,0,22,9
0,2,0,1,1,0,0,0,1,1,4,0,1,2,1,0,1,0,8,1,7,2,2,0,2,0,0,2,0,2,9,0,7,0,1,1,0,4,1,14,14,32,1,12,0,0,0,7,10,0
28,27,45,32,101,10,65,26,27,2,77,13,16,61,29,13,37,41,6,18,11,8,5,13,8,5,20,34,2,4,27,66,22,11,43,24,24,6,57,1,63,1,11,24,28,14,11,199,49,36
82,68,63,71,62,74,65,63,78,71,66,60,70,79,66,72,71,73,76,75,68,65,63,54,68,78,72,71,62,71,77,72,60,57,74,66,57,70,65,64,80,77,63,68,66,70,63,75,70,69
183,277,277,196,219,213,297,212,381,106,522,532,614,734,1029,822,429,478,752,417,1070,837,475,584,612,585,677,390,489,438,289,306,412,278,220,263,314,345,453,521,293,251,163,286,153,266,418,230,181,236
3,13,24,9,2,19,9,41,5,20,20,169,48,18,86,27,18,10,10,27,9,38,74,49,39,17,27,33,10,5,29,11,17,0,13,7,7,5,16,36,24,12,18,48,12,6,4,2,6,4
9,15,29,17,24,66,7,31,201,27,29,22,13,95,3,54,30,73,13,42,52,26,108,27,49,21,40,74,45,5,26,45,5,49,68,17,50,78,27,30,93,56,58,28,41,64,101,33,51,39
40,20,19,1,2,69,7,56,94,71,40,40,11,38,95,39,12,2,88,71,61,18,47,11,60,51,10,25,87,59,80,75,8,22,47,67,29,35,111,9,52,43,38,167,7,7,4,66,29,85
30,0,0,0,0,3,0,0,0,0,1,1,0,0,154,0,0,0,0,0,0,37,36,0,0,0,4,2,250,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,4,0,11,0,0
58,95,93,89,37,103,0,54,94,136,22,136,36,113,11,5,108,90,12,13,79,59,97,83,15,35,17,83,9,35,36,59,49,6,46,56,18,42,27,10,154,106,13,144,51,44,69,16,49,2
89,7,49,111,109,64,141,113,28,0,64,17,194,245,195,44,127,117,30,18,58,209,194,191,48,133,267,237,103,17,17,53,57,33,30,31,42,110,59,36,67,76,81,44,40,60,66,24,78,32
14,5,7,10,3,5,1,17,1,13,14,13,32,5,10,4,35,38,16,2,11,2,2,12,11,3,2,12,5,23,24,5,9,20,2,19,6,17,7,21,4,2,6,19,5,12,0,0,1,27
121,48,103,29,69,67,113,100,87,58,67,40,50,116,97,69,34,24,42,86,111,60,79,37,12,70,72,98,104,54,87,145,35,52,88,18,70,44,32,80,65,46,17,97,73,119,100,63,73,80
11,8,9,4,11,6,4,6,4,11,3,5,8,13,7,13,2,1,12,19,12,7,36,16,10,23,5,2,4,12,8,18,0,15,3,8,6,28,8,7,12,11,0,5,6,16,23,31,2,9
227,303,185,221,417,490,573,414,418,420,230,133,160,325,136,347,220,115,218,321,213,158,247,154,259,124,123,285,242,181,225,353,124,455,350,84,131,314,304,114,204,303,159,449,256,139,356,228,417,229
13,0,8,7,0,3,5,2,0,4,25,14,8,12,0,20,17,53,22,0,4,20,0,0,3,12,1,1,27,11,2,4,0,3,0,28,8,12,7,20,16,16,6,2,3,0,2,13,10,3
0,2,0,5,8,1,0,2,1,0,5,2,0,2,14,0,0,0,0,3,1,5,0,1,0,0,5,0,0,0,0,1,7,0,0,0,0,8,0,0,0,4,1,0,8,3,18,5,35,0
72,67,1,42,2,0,3,13,2,0,92,3,1,0,21,0,24,0,0,13,3,12,5,2,5,12,2,0,63,38,1,4,3,5,0,0,0,15,0,0,0,10,1,6,1,42,0,15,96,0
21,10,27,29,26,30,26,25,19,27,14,20,25,19,16,19,25,9,28,5,23,18,14,27,21,12,25,18,17,22,18,23,17,8,16,24,23,29,12,20,36,26,27,18,10,28,16,33,29,26
12,0,1,7,5,0,0,0,0,10,16,6,12,0,8,1,57,2,15,0,28,17,18,4,3,1,11,0,27,3,2,10,2,15,0,12,13,11,9,3,1,0,0,2,2,9,5,1,0,7
162,176,119,32,60,115,161,162,191,131,506,514,168,827,562,755,529,151,225,323,618,458,122,199,385,408,456,288,571,458,58,197,132,138,31,109,131,102,106,67,62,36,107,43,91,140,8,86,23,92
102,36,103,32,202,112,44,14,109,122,20,21,83,23,29,31,41,24,24,12,21,27,104,94,71,37,38,117,11,34,189,255,338,145,473,190,239,150,216,219,211,162,117,372,143,222,882,181,232,401
13,4,31,56,35,27,43,34,5,0,10,1,42,30,51,16,32,20,23,4,14,9,37,28,1,23,33,45,2,3,5,17,5,0,12,7,11,40,8,2,19,22,39,5,28,37,12,29,47,4
0,0,0,9,0,0,0,3,37,0,126,0,214,0,330,0,325,139,5,0,21,512,2,61,254,30,0,2,1,0,4,0,1,69,0,3,0,7,0,0,4,0,0,0,7,0,0,0,0,0
17,13,6,1,4,5,0,1,5,7,3,16,9,11,2,2,8,4,2,10,0,3,6,1,1,3,1,6,2,1,7,5,12,3,3,7,9,3,4,12,1,5,2,3,2,1,5,8,0,8
36,43,55,33,52,50,32,58,56,37,31,38,62,36,28,50,28,19,31,48,50,45,61,47,21,46,51,42,37,16,36,45,47,28,51,20,46,25,36,37,29,30,39,31,60,41,64,33,50,44
0,0,4,4,0,2,0,0,3,0,2,0,0,0,0,0,0,3,0,0,0,3,0,0,22,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
13,8,9,6,19,7,16,12,10,5,5,5,6,9,5,14,8,7,10,10,4,10,30,10,13,13,13,13,10,2,47,18,55,1,118,66,43,45,58,87,47,93,6,46,21,18,272,22,70,55
91,116,131,93,95,170,171,119,132,143,121,95,117,216,100,150,90,132,100,163,111,50,117,86,69,87,66,122,71,93,97,42,97,162,193,91,77,146,127,64,90,127,109,108,86,99,129,103,129,113
41,13,24,57,72,51,62,18,28,8,7,3,36,43,42,41,51,33,35,38,15,29,68,27,23,14,59,91,19,37,22,48,28,10,14,12,41,43,25,6,53,39,13,25,48,25,48,22,79,24
23,13,14,3,24,5,1,3,16,2,5,169,17,9,47,7,2,11,72,4,6,4,8,16,46,10,40,8,3,13,8,4,33,4,0,13,15,9,78,57,37,7,9,8,10,2,40,27,1,13
0,0,0,23,13,13,0,0,0,0,25,0,0,32,13,0,1,9,0,0,18,38,0,0,3,2,0,1,0,36,6,0,70,32,24,72,0,10,0,0,34,0,20,0,0,0,35,0,0,82
2,0,0,6,0,0,0,0,1,3,4,0,0,4,0,3,2,0,1,0,4,10,0,0,3,0,0,0,0,2,0,0,0,0,0,1,1,4,0,1,0,7,0,2,1,0,4,24,3,3
1,2,1,1,0,5,0,0,0,15,7,9,0,0,1,0,0,0,1,4,8,2,0,6,0,0,0,1,0,2,0,1,0,3,4,0,0,1,0,0,0,1,1,4,1,1,29,11,0,1
45,17,131,22,61,23,31,46,15,32,3,9,91,28,6,27,14,23,8,15,6,85,44,119,11,26,253,147,15,11,31,79,18,15,23,3,59,18,28,62,104,23,34,47,33,13,42,9,18,31
11,10,16,6,10,14,2,10,10,42,4,34,13,11,6,14,4,18,26,16,26,6,7,21,20,23,23,8,13,13,2,7,23,3,11,14,14,33,5,9,3,3,15,20,4,14,30,32,13,9
0,1,15,8,0,9,1,26,1,25,10,16,3,0,4,2,8,0,14,13,12,11,2,0,0,1,0,27,6,4,1,1,14,2,0,5,6,7,2,2,4,1,5,0,0,3,10,0,2,5
5,8,7,27,20,13,14,16,15,3,77,41,87,130,109,95,43,68,33,53,84,33,144,103,40,139,135,90,86,21,24,18,27,18,13,20,21,12,11,23,10,10,16,7,20,29,10,4,12,5
0,8,16,7,1,14,2,10,13,6,8,164,28,5,44,4,12,11,5,18,8,3,7,10,25,15,17,6,1,19,5,8,15,6,30,15,9,8,28,18,25,6,9,26,0,3,10,2,2,16
26,34,30,50,15,23,40,31,87,69,26,88,54,45,53,44,38,67,29,43,20,35,32,59,52,39,64,22,25,57,31,72,53,47,48,31,41,35,97,44,66,30,46,33,31,57,20,52,34,83
