"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
0,0,0,0,478,0,0,0,0,835,0,323,0,0,0,0,0,0,516,1132,430,0,1513,0,2329,1407,0,0,1025,592,0,0,424,2236,0,0,0,8878,0,0,0,0,0,0,2186,0,4356,0,416,0
2422,0,0,803,1809,9,0,1804,0,1586,0,281,0,0,784,0,0,0,0,0,220,0,0,251,449,0,710,24,760,544,0,1105,904,0,0,612,0,0,0,985,69,0,1653,0,0,0,0,0,0,0
0,0,0,0,0,0,1790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,0,0,0,1207,0,0,0,0,0,0,1617,369,0,0,0,0,0,152,0,0,0,0,283,360,0,0,0,0,0,0,1053,0,0,0,0,0,0,0,0,0,0,2878,0,0,0,0,0,0,0
0,816,0,0,0,0,0,0,3997,0,0,0,0,636,0,0,0,0,630,0,528,0,457,0,375,0,0,0,0,0,0,1702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712
0,0,2952,1468,0,0,0,690,2906,1819,2773,3063,3118,6599,0,3347,1202,1773,1547,92,1816,2527,2567,2961,3451,4031,1830,1481,5108,1651,0,2899,1753,971,518,0,4424,2467,3605,2512,270,0,4329,1674,2322,311,0,0,0,0
394,1647,3761,387,0,1409,697,0,0,4882,0,0,0,635,0,0,0,0,186,556,0,1542,0,782,0,0,0,1373,0,0,0,0,0,0,0,0,0,317,0,819,1789,0,0,0,0,0,0,0,0,0
0,173,0,0,562,0,0,0,0,3716,0,188,0,0,0,380,0,167,0,0,0,874,0,0,0,1097,0,0,132,0,0,0,0,55,0,0,0,0,0,0,0,0,3338,702,0,0,0,1473,0,0
1093,0,0,0,936,0,0,0,1110,0,0,317,0,0,1107,0,910,0,0,524,0,1186,717,269,311,0,0,0,0,2116,0,1178,2043,1476,1615,0,0,0,1665,1382,0,1345,0,1791,0,0,0,1601,0,0
16568,27551,15916,21474,9108,12553,10418,16531,24529,4180,51824,36789,57633,37504,24613,43553,44405,37953,25180,42081,27623,59192,23993,42161,37183,40341,37891,25055,41404,33982,17457,27590,16886,10032,11229,30150,28380,14015,14060,30040,10182,13769,11319,15493,11182,10035,4656,9960,2773,6256
1864,0,0,265,977,1403,0,0,3490,1116,0,1158,509,0,0,0,294,0,0,0,0,1939,0,0,0,392,401,0,0,782,0,1497,791,56,0,1426,442,1506,0,0,0,0,0,646,1660,0,0,0,0,622
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,90,2355,788,0,0,0,2041,1109,0,0,1121,2360,560,683,3207,629,374,0,1144,94,3617,187,261,881,329,2430,222,1800,438,0,0,0,0,0,0,210,8816,0,0,554,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,549,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2440,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2911,0,611,0,1191,0,286,1098,0,474,1590,0,761,0,0,0,0,160,0,0,634,1045,765,558,149,458,675,0,1331,1471,1187,311,0,672,0,1147,0,0,862,879,0,0,450,704,4146,347,0,1763,345,1161
0,4217,384,0,0,2096,1290,0,0,0,0,0,1390,0,0,0,0,0,0,156,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,0,0,0,330,190,0,0,0,0,0
1051,0,0,0,0,0,0,184,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,244,0,0,1413,0,0,0,0,0,0,0,0,0,0,1623,0,0,0,0,0
418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824,0,0,0,0,53,0,0,0,0,0,413,2082,0,0,0,0,0,0,0,2095,1510,0,0,0,0,0,0,0,0,0,0,3552,0,0
0,0,781,0,0,0,0,0,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,2020,849,0,0,0,0,0,570,1745,575,0,0,1091,0,490,0,155,0,0,395,0,173,0,433,663,536,0,0,0,278,446,0,0,375,0,325,0,898,43,0,0,0,0,1267,294,0,729,0,1585
77,397,943,1216,3867,4546,0,0,3393,0,1045,0,742,0,297,0,1766,0,953,1620,0,0,0,0,414,689,564,0,1133,871,0,0,0,0,1931,359,177,0,1867,0,0,5494,0,439,1546,1090,3054,0,483,0
353,6896,2196,2316,3113,6036,822,11159,5815,1240,16173,9101,17164,18007,9954,16274,3925,12915,9656,11575,16341,7272,6475,7710,5911,3904,4601,4837,4267,4868,3846,2343,844,547,0,3221,2547,0,4691,5760,1201,0,4944,1089,1669,1125,0,2868,0,711
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801,0,0,0,0,0,0,0,0,0,0,0,0
4432,4227,2067,772,2632,1027,576,4468,14067,496,0,0,1753,4339,149,1014,1339,710,894,0,2024,1426,0,381,553,2138,557,84,1751,1181,0,2422,5226,2912,3456,0,3473,3798,5649,1507,2525,3681,2443,9192,2825,1010,1174,4205,1442,1629
693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,0,401,0,0,250,0,0,0,1789,0,0,0,459,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1636,0,0
0,0,0,0,0,0,0,0,0,0,1595,0,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,811,0,0,501,0,0,0,0,0,0,0,0,2161,0,0,0,3079,0,687,0,3986,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966,238,0,0,0,1029,0,0,0,1558,0,383,4680,0,0,0,5195,0,0,0,0,0,1490,1207,0,0,0,0
0,512,0,0,0,0,0,0,132,1515,0,0,0,0,0,0,0,634,0,0,79,0,0,0,1927,0,0,0,0,0,0,0,405,0,0,0,0,0,613,0,0,0,0,0,0,829,0,0,0,840
601,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,379,0,0,0,0,170,0,0,122,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2139,0,0,0
0,0,0,0,0,0,0,2615,1777,0,0,0,604,951,848,1252,1386,0,364,1828,87,1133,623,0,0,1088,0,744,0,1544,0,0,0,0,0,0,0,0,0,0,0,0,1680,0,0,493,1126,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,747,0,0,0,0,0,0,0,0,0,0,0,0,0,393,354,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,0,652,0,610,1770,568,233,1770,4160,3939,496,0,434,364,615,486,637,988,4399,735,0,1073,619,2132,0,1674,375,783,0,0,2873,0,0,0,0,532,0,230,1052,0,0,297,0,0,541,0,1329,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,2046,0,758,0,0,0,0,0,1311,0,0,0,0,0,0
0,8272,0,0,4826,0,0,0,0,1405,0,649,0,585,0,778,0,1111,939,1281,321,1641,7933,0,0,1071,0,0,0,874,0,0,4171,0,2823,0,0,0,5958,0,2378,0,0,2613,6469,2677,0,0,0,0
0,0,0,0,0,0,440,0,871,0,0,0,0,0,0,637,0,0,0,0,223,0,0,0,432,0,0,0,0,0,0,0,450,701,262,0,0,0,0,119,0,0,0,0,0,0,0,0,0,660
321,2003,0,876,0,1950,351,563,0,488,1290,1045,0,665,0,0,185,1614,247,2150,133,389,0,369,0,0,764,0,3084,410,0,0,314,1242,0,0,590,0,0,0,0,0,0,0,0,651,0,0,0,0
1525,0,1526,3611,6628,0,3416,1450,1564,3783,0,1414,1370,0,0,271,243,806,610,2535,475,2387,212,2227,3634,708,0,625,2144,1669,586,1879,0,2600,3047,1041,766,0,832,2058,2025,1139,2356,1782,368,756,4477,0,551,1124
0,0,1941,0,0,0,559,1270,0,1534,0,357,285,0,0,1256,0,0,0,0,0,0,541,0,0,0,0,0,0,0,910,2674,0,0,0,1005,495,0,941,0,1975,0,1088,0,0,0,0,0,282,0
0,0,418,637,0,944,0,1370,0,1444,1502,789,905,0,0,0,0,0,0,0,0,0,0,168,0,843,307,0,0,0,491,0,623,0,0,0,1607,0,0,0,0,1993,0,0,1107,0,0,2416,1062,454
3247,4285,2506,1785,2133,0,893,3324,1547,1233,1419,103,5996,0,296,3032,0,692,1332,1023,1073,930,2193,463,0,975,2382,2737,190,663,1618,0,0,3880,1677,1867,0,6032,497,1818,1202,1674,526,4936,2621,1258,835,0,303,2705
0,0,0,0,0,0,0,0,1571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,1456,0,0,0,0,0,0,0,0,0,0,1131,0,0
0,0,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,0,0,619,0,0,0,0,0,0,0,0,0,696,0,0,0,0,0,0,503,1282,0,1799,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,727,0,0,0,0,0,0,0,149,1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
919,1664,0,919,1830,0,0,0,0,0,0,698,0,758,0,449,0,0,0,0,0,0,0,346,0,0,0,52,0,0,0,173,0,0,769,892,0,0,615,0,0,0,0,616,0,0,0,6069,0,0
0,997,0,0,0,0,851,0,2917,471,0,0,1384,0,0,909,0,2900,0,0,0,0,224,301,804,516,0,0,215,0,3003,0,414,0,1257,2693,0,1007,1815,0,1209,1865,3077,1185,599,1767,1150,658,569,0
0,2992,1805,2107,6547,1041,0,1000,6057,7490,3837,1419,2637,5227,3895,1430,6228,3645,2532,7711,2387,2731,4402,3962,3846,2176,2003,654,1487,1028,0,2900,5334,2375,3369,1374,540,4313,2956,1439,114,4065,664,1317,3692,1084,2296,6725,0,1531
0,0,0,0,0,0,0,3019,0,0,0,1433,0,0,0,0,0,0,0,1598,887,0,0,357,0,0,350,0,0,0,0,0,0,0,0,0,0,0,734,0,0,0,0,1198,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,2869,0,0,1197,1833,0,0,1051,409,927,0,0,0,0,0,318,0,460,0,794,0,0,0,93,37,0,972,0,560,236,0,546,0,423,0,0,0,0,2253,408,0,0,513,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,272,511,0,2477,0,0,0,3008,0,0,0,0,0,0,2979,0,0,0,78,725,269,949,0,0,0,0,0,30,0,0,255,0,709,997,0,0,0,0,0,3087,0,3064,0,0,905,1240,0,0
0,0,0,379,0,1339,607,0,0,0,630,0,1064,248,136,453,273,1474,0,0,158,403,311,0,1209,356,1042,0,0,395,0,0,0,0,0,0,0,3385,0,0,0,0,1075,1758,0,0,4173,0,0,0
1301,0,0,0,0,0,0,1375,0,0,0,0,0,0,0,0,122,161,0,0,0,0,0,0,0,0,0,171,0,155,0,0,0,727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610
213,0,3129,0,874,2417,1514,4547,2917,0,2852,0,0,0,0,0,0,0,0,996,0,0,0,0,0,0,0,619,456,157,194,0,604,2504,0,0,0,0,2292,0,0,0,4166,959,0,2689,0,0,211,750
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,257,0,0,0,0,0,0,0,0,0,0,837,0,0,0,0,1450,0,0,0,988,0,0,694,0,0,0,5908,0,0
6435,4368,1685,2822,3315,0,13670,4817,8874,3590,0,0,0,1049,1908,1395,2749,347,296,1094,875,0,275,567,751,1020,0,1665,2572,1160,0,788,229,2728,3066,1634,1230,1788,1140,0,2277,4929,609,2909,4415,1081,540,3207,216,2619
337,0,616,0,0,0,0,0,0,0,0,0,0,0,0,1332,0,1822,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,506,0,0,0,0,514,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082,0,0,0,0,0,0,0,0,0,0,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,821,0,0,0,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751,0,0,0,0
0,0,0,193,0,45,0,0,0,1662,0,0,0,499,0,0,0,0,0,0,24,0,0,0,642,0,0,0,812,0,0,1111,0,0,0,0,0,0,0,0,0,1097,0,0,0,1743,0,0,255,1629
0,0,0,0,0,0,0,0,0,0,0,0,793,0,0,0,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220,0,1306,0,1617,0,480,3447,4062,322,4454,1365,3314,3387,4016,2019,2155,417,1215,1336,2577,4018,0,532,1804,1358,907,3263,1870,1500,0,1769,596,0,0,0,1695,2573,642,0,0,0,1156,0,0,511,0,1400,0,2303
3482,0,0,0,2895,1595,1124,0,1522,81,0,0,2069,359,0,744,0,0,0,0,139,0,0,280,291,434,491,397,0,0,1138,7468,3758,1122,11444,1444,2328,4166,1777,2775,691,5076,3219,1051,2632,863,6812,1357,0,2693
637,0,0,0,0,0,522,1498,0,0,0,0,817,0,0,0,0,0,0,0,0,0,75,141,0,0,346,718,0,0,0,1723,0,0,0,840,747,0,0,0,0,0,0,0,673,0,0,0,83,0
0,0,0,0,0,0,0,0,1730,0,0,0,0,0,1113,0,1650,1996,0,0,218,577,0,0,1992,0,0,0,0,0,0,0,0,1596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,0,3762,0,812,134,0,0,1481,0,0,0,0,1070,0,0,0,0,0,2427,0,1605,0,0,0,447,0,0,0,0,0,1192,0,0,0,165,0,0,0,0,0,604,0,0,468,1661,3846,1562,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1044,0,0,0,458,0,0,544,0,0,0,0,0,0,0,0,0,0,587,0,0,0,0,0,0,0,2607,0,984,0,0,0,0,0,0,0,0,0,564,0,1572,0
1123,1568,1737,0,656,1417,4186,6191,1682,5039,0,0,0,688,0,1398,759,758,0,1164,361,0,224,318,0,0,403,648,879,1316,0,592,624,969,783,0,0,0,1698,0,0,0,4324,0,911,1266,0,288,86,0
0,0,0,1003,0,4758,594,0,0,0,0,0,0,838,316,0,1728,2112,0,0,0,0,0,0,0,436,1482,0,0,0,115,0,0,0,0,0,0,0,0,0,936,0,0,0,793,0,0,1148,0,0
0,0,0,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,1344,0,0,0,0,0,0,0,0,0,0,0,0,129,1085,0,0,0,0,0,0,0,0,0,0
0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2922
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0,0,0
0,0,3738,686,1163,0,0,0,0,0,0,0,0,425,0,0,0,0,1320,0,0,0,242,0,0,0,871,570,463,0,155,1380,0,0,0,0,0,0,0,1933,0,0,0,0,0,0,560,0,2582,0
0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1142,0,0,0,0,1959,0,2488
0,0,0,0,0,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,1036,0,0,0,0,0,445,0,0,0,0,0,159,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,1529
0,0,0,0,0,0,0,0,0,0,0,0,466,592,472,0,0,0,415,0,209,1453,792,405,0,958,1858,546,2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,857,1995,0,0,0,0,0,0,0,0,4160,0,0,2342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8787,0,0,0
0,4216,0,0,0,0,0,0,1480,0,0,625,1879,0,0,769,417,736,409,0,0,0,0,708,0,0,774,0,0,215,0,0,879,0,903,0,1702,0,0,0,0,0,1160,1017,0,535,0,0,0,0
